platform,primaryIntent,queryCount,okCount,okEmptyCount,partialCount,loginRequiredCount,blockedCount,captchaCount,errorCount,avgLabelsCount,labelsZeroCount,avgTopResultsCount,topResultsZeroCount,topResultsLessThan10Count,fullTop10Rate,notes
google,creative,30,30,0,0,0,0,0,0,16.0,2,10.0,0,0,100%,
google,consumer,28,28,0,0,0,0,0,0,19.7,1,10.0,0,0,100%,
bing,creative,30,30,0,0,0,0,0,0,39.9,0,10.0,0,0,100%,
bing,consumer,28,28,0,0,0,0,0,0,40.0,0,10.0,0,0,100%,
pinterest,creative,30,30,0,0,0,0,0,0,0.5,23,10.0,0,0,100%,23/30 labels=0 (login modal)
pinterest,consumer,28,28,0,0,0,0,0,0,0.8,17,10.0,0,0,100%,17/28 labels=0 (login modal)
canva,creative,30,22,0,0,8,0,0,0,43.3,8,7.3,8,0,73%,8/30 login_required
canva,consumer,28,14,0,1,13,0,0,0,29.3,13,5.0,13,2,46%,13/28 login_required
curify,creative,30,26,4,0,0,0,0,0,8.1,0,6.1,4,16,33%,4/30 ok_empty; 16/30 topResults<10
curify,consumer,28,27,1,0,0,0,0,0,9.6,0,9.3,1,4,82%,1/28 ok_empty; 4/28 topResults<10
