query,platform,label_count,data_status,label_source_type,notes
单词,Bing Images,40,ok,related_search_chips,
卡通,Bing Images,40,ok,related_search_chips,
吉伊卡哇,Bing Images,40,ok,related_search_chips,
家居装饰,Bing Images,40,ok,related_search_chips,
工程,Bing Images,40,ok,related_search_chips,
植物,Bing Images,40,ok,related_search_chips,
水果中文,Bing Images,39,ok,related_search_chips,
电商详情图,Bing Images,39,ok,related_search_chips,
自行车,Bing Images,40,ok,related_search_chips,
葡萄酒,Bing Images,40,ok,related_search_chips,
蔬菜,Bing Images,40,ok,related_search_chips,
词汇,Bing Images,40,ok,related_search_chips,
趣味经济学知识科普,Bing Images,39,ok,related_search_chips,
音乐,Bing Images,40,ok,related_search_chips,
食物,Bing Images,40,ok,related_search_chips,
香薰,Bing Images,40,ok,related_search_chips,
唯美春天,Bing Images,39,ok,related_search_chips,
证件照,Bing Images,40,ok,related_search_chips,
手作,Bing Images,40,ok,related_search_chips,
historical character,Bing Images,40,ok,related_search_chips,
future characters,Bing Images,40,ok,related_search_chips,
homophones and homonyms,Bing Images,40,ok,related_search_chips,
english-chinese,Bing Images,40,ok,related_search_chips,
language learning expressions,Bing Images,40,ok,related_search_chips,
global influence,Bing Images,40,ok,related_search_chips,
remote destination,Bing Images,40,ok,related_search_chips,
unique cultural experiences,Bing Images,40,ok,related_search_chips,
short city escapes,Bing Images,40,ok,related_search_chips,
creative comfort food,Bing Images,40,ok,related_search_chips,
mbti marvel,Bing Images,40,ok,related_search_chips,
spring flowers,Bing Images,40,ok,related_search_chips,
反义词,Bing Images,40,ok,related_search_chips,
paper cutting,Bing Images,40,ok,related_search_chips,
met gala,Bing Images,40,ok,related_search_chips,
动物 词汇,Bing Images,39,ok,related_search_chips,
wedding planner,Bing Images,40,ok,related_search_chips,
minimalist autumn outfit for japan travel,Bing Images,40,ok,related_search_chips,
infj vs entp dating compatibility chart,Bing Images,40,ok,related_search_chips,
cuban sandwich recipe poster,Bing Images,40,ok,related_search_chips,
bilingual flashcards for kids learning korean fruits,Bing Images,40,ok,related_search_chips,
watercolor map of europe travel destinations,Bing Images,40,ok,related_search_chips,
monstera plant care guide infographic,Bing Images,40,ok,related_search_chips,
marvel mbti character chart 16 types,Bing Images,40,ok,related_search_chips,
lunar new year red envelope graphic design,Bing Images,40,ok,related_search_chips,
1950s vintage diner illustration retro poster,Bing Images,40,ok,related_search_chips,
before after kitchen organization makeover,Bing Images,40,ok,related_search_chips,
